TaskID,AverageUsage(%)
1,0.000
2,0.000
3,0.000
4,0.000
5,0.000
7,0.177
8,4.724
9,7.032
10,0.248
11,0.376
12,0.235
13,0.264
14,1.902
15,0.181
17,0.000
19,0.153
20,0.000
21,0.133
27,0.195
CPU,29.613
